再開発,,,1000,名詞,一般,*,*,*,*,さいかいはつ,サイカイハツ,サイカイハツ
只中,,,1000,名詞,一般,*,*,*,*,ただなか,タダナカ,タダナカ
麻布狸穴町,,,1000,名詞,一般,*,*,*,*,あざぶまみあなちょう,アザブマミアナチョウ,アザブマミアナチョウ
到達点,,,1000,名詞,一般,*,*,*,*,とうたつてん,トウタツテン,トウタツテン
神保町,,,1000,名詞,一般,*,*,*,*,じんぼうちょう,ジンボウチョウ,ジンボウチョウ
東武東上線,,,1000,名詞,一般,*,*,*,*,とうぶとうじょうせん,トウブトウジョウセン,トウブトウジョウセン
ライフステージ,,,1000,名詞,一般,*,*,*,*,らいふすてーじ,ライフステージ,ライフステージ
山手線,,,1000,名詞,一般,*,*,*,*,やまのてせん,ヤマノテセン,ヤマノテセン
周辺街,,,1000,名詞,一般,*,*,*,*,しゅうへんがい,シュウヘンガイ,シュウヘンガイ
港区,,,1000,名詞,一般,*,*,*,*,みなとく,ミナトク,ミナトク
インターシティ,,,1000,名詞,一般,*,*,*,*,いんたーしてぃ,インターシティ,インターシティ
天王洲,,,1000,名詞,一般,*,*,*,*,てんのうず,テンノウズ,テンノウズ
パークホームズ,,,1000,名詞,一般,*,*,*,*,ぱーくほーむず,パークホームズ,パークホームズ
住宅地,,,1000,名詞,一般,*,*,*,*,じゅうたくち,ジュウタクチ,ジュウタクチ
駅近,,,1000,名詞,一般,*,*,*,*,えきちか,エキチカ,エキチカ
最前席,,,1000,名詞,一般,*,*,*,*,さいぜんせき,サイゼンセキ,サイゼンセキ
駅徒歩圏,,,1000,名詞,一般,*,*,*,*,えきとほけん,エキトホケン,エキトホケン
第一種住居地域,,,1000,名詞,一般,*,*,*,*,だいいっしゅじゅうきょちいき,ダイイッシュジュウキョチイキ,ダイイッシュジュウキョチイキ
ワタシ,,,1000,名詞,一般,*,*,*,*,わたし,ワタシ,ワタシ
ワクワク,,,1000,名詞,一般,*,*,*,*,わくわく,ワクワク,ワクワク
西荻窪,,,1000,名詞,一般,*,*,*,*,にしおぎくぼ,ニシオギクボ,ニシオギクボ
中央線,,,1000,名詞,一般,*,*,*,*,ちゅうおうせん,チュウオウセン,チュウオウセン
中野弥生,,,1000,名詞,一般,*,*,*,*,なかのやよい,ナカノヤヨイ,ナカノヤヨイ
黒門町,,,1000,名詞,一般,*,*,*,*,くろもんちょう,クロモンチョウ,クロモンチョウ
ガーデンテラス,,,1000,名詞,一般,*,*,*,*,がーでんてらす,ガーデンテラス,ガーデンテラス
