再開発,,,1000,名詞,一般,*,*,*,*,再開発,サイカイハツ,サイカイハツ
只中,,,1000,名詞,一般,*,*,*,*,只中,タダナカ,タダナカ
麻布狸穴町,,,1000,名詞,一般,*,*,*,*,麻布狸穴町,アザブマミアナチョウ,アザブマミアナチョウ
到達点,,,1000,名詞,一般,*,*,*,*,到達点,トウタツテン,トウタツテン
神保町,,,1000,名詞,一般,*,*,*,*,神保町,ジンボウチョウ,ジンボウチョウ
東武東上線,,,1000,名詞,一般,*,*,*,*,東武東上線,トウブトウジョウセン,トウブトウジョウセン
ライフステージ,,,1000,名詞,一般,*,*,*,*,ライフステージ,ライフステージ,ライフステージ
山手線,,,1000,名詞,一般,*,*,*,*,山手線,ヤマノテセン,ヤマノテセン
周辺街,,,1000,名詞,一般,*,*,*,*,周辺街,シュウヘンガイ,シュウヘンガイ
港区,,,1000,名詞,一般,*,*,*,*,港区,ミナトク,ミナトク
インターシティ,,,1000,名詞,一般,*,*,*,*,インターシティ,インターシティ,インターシティ
天王洲,,,1000,名詞,一般,*,*,*,*,天王洲,テンノウズ,テンノウズ
パークホームズ,,,1000,名詞,一般,*,*,*,*,パークホームズ,パークホームズ,パークホームズ
住宅地,,,1000,名詞,一般,*,*,*,*,住宅地,ジュウタクチ,ジュウタクチ
駅近,,,1000,名詞,一般,*,*,*,*,駅近,エキチカ,エキチカ
最前席,,,1000,名詞,一般,*,*,*,*,最前席,サイゼンセキ,サイゼンセキ
駅徒歩圏,,,1000,名詞,一般,*,*,*,*,駅徒歩圏,エキトホケン,エキトホケン
第一種住居地域,,,1000,名詞,一般,*,*,*,*,第一種住居地域,ダイイッシュジュウキョチイキ,ダイイッシュジュウキョチイキ
ワタシ,,,1000,名詞,一般,*,*,*,*,ワタシ,ワタシ,ワタシ
ワクワク,,,1000,名詞,一般,*,*,*,*,ワクワク,ワクワク,ワクワク
西荻窪,,,1000,名詞,一般,*,*,*,*,西荻窪,ニシオギクボ,ニシオギクボ
中央線,,,1000,名詞,一般,*,*,*,*,中央線,チュウオウセン,チュウオウセン
中野弥生,,,1000,名詞,一般,*,*,*,*,中野弥生,ナカノヤヨイ,ナカノヤヨイ
黒門町,,,1000,名詞,一般,*,*,*,*,黒門町,クロモンチョウ,クロモンチョウ
ガーデンテラス,,,1000,名詞,一般,*,*,*,*,ガーデンテラス,ガーデンテラス,ガーデンテラス
ホビールーム,,,1000,名詞,一般,*,*,*,*,ホビールーム,ホビールーム,ホビールーム
ランドマーク,,,1000,名詞,一般,*,*,*,*,ランドマーク,ランドマーク,ランドマーク
庭苑,,,1000,名詞,一般,*,*,*,*,庭苑,テイエン,テイエン
可能性,,,1000,名詞,一般,*,*,*,*,可能性,カノウセイ,カノウセイ
スローライフ,,,1000,名詞,一般,*,*,*,*,スローライフ,スローライフ,スローライフ
街区,,,1000,名詞,一般,*,*,*,*,街区,ガイク,ガイク
観音裏,,,1000,名詞,一般,*,*,*,*,観音裏,カンノンウラ,カンノンウラ
浅草三丁目,,,1000,名詞,一般,*,*,*,*,浅草三丁目,アサクササンチョウメ,アサクササンチョウメ
観光地,,,1000,名詞,一般,*,*,*,*,観光地,カンコウチ,カンコウチ
居住性,,,1000,名詞,一般,*,*,*,*,居住性,キョジュウセイ,キョジュウセイ
